SampleID,FragMa.CGA,FragMa.CGT,FragMa.CGG,FragMa.CGC,FragMa.ACG,FragMa.TCG,FragMa.GCG,FragMa.CCG,FragMa.CGN_NCG_ratio,FragMa.CG1.CGC,FragMa.CG1.ACG,FragMa.CG1.TCG,FragMa.CG1.GCG,FragMa.CG1.CCG,FragMa.CG2.CGA,FragMa.CG2.CGT,FragMa.CG2.CGG,FragMa.CG2.CGC,FragMa.CG2.GCG,FragMa.CG1.CGN_NCG_ratio,FragMa.CG2.CGN_NCG_ratio
Breast-P204,0.2330492611922221,0.1527052916694193,0.2009645240140054,0.229647001827751,0.0170883706590914,0.0166589592829931,0.0445927198255929,0.1052938715289247,4.445616980453292,0.6122666666666666,0.0349333333333333,0.0178666666666666,0.1174666666666666,0.2174666666666666,0.1534259403777118,0.1885437802403621,0.2016544404557515,0.3301076947089121,0.1262681442172623,1.5790921595598348,6.919653893695921
Breast-P203,0.2326303167101643,0.1438748878968953,0.1993067241709408,0.2261006257620492,0.0188030915265167,0.0213424157841171,0.0437428833422344,0.1141990548070819,4.048275511242243,0.6101366880367727,0.0297568646425547,0.0214104269989113,0.1166082012822063,0.2220878190395548,0.1550044286979628,0.1826099793327428,0.2047534691467375,0.3249188072040153,0.1327133156185415,1.5650015513496742,6.53503893214683
Breast-P202,0.2334786707518265,0.1565283997171812,0.2014494461465943,0.23802733914683,0.0168159321234975,0.0166745227433419,0.0428470421871317,0.0941786471835965,4.864547339322737,0.6270734597156398,0.0279917061611374,0.0191054502369668,0.1161137440758293,0.2097156398104265,0.1599362380446333,0.1875664187035069,0.1985476443499823,0.3209351753453772,0.1330145235565001,1.681493248610008,6.517976031957391
Breast-P201,0.2342734557385324,0.1542263444591667,0.2057437903548068,0.2424127705217995,0.0155214840053,0.014133383809704,0.0414747512987149,0.0922140198119755,5.122062705208267,0.6355454056958625,0.0292853304674905,0.0181354110693175,0.1175443310048361,0.1994895217624933,0.1592627599243856,0.1969124133585381,0.1906112161310649,0.3306553245116572,0.1225582860743541,1.7438260228529303,7.159383033419023
Breast-P200,0.23783167472907,0.1527834663537642,0.2010914686119751,0.2366250816387526,0.0161617056134252,0.0150104608300032,0.0422861064680031,0.0982100357550062,4.825187000257931,0.6267644616662054,0.024910047052311,0.0167450871851646,0.1197066150013839,0.2118737890949349,0.1598519266363789,0.193336698637052,0.1891300689887262,0.3375399629816591,0.1201413427561837,1.6792732665925103,7.323529411764706
Breast-P199,0.2298809674123899,0.1472927834341532,0.1978787635303435,0.2298924459647149,0.0192724893536427,0.0191117896210929,0.0456502025964485,0.111020558087214,4.126758076855175,0.6153950033760972,0.0305199189736664,0.0198514517218095,0.1169480081026333,0.2172856178257934,0.152144545761567,0.1820330969267139,0.196386355960824,0.3166160081053698,0.1528199932455251,1.6000702247191012,5.543646408839779
Breast-P198,0.2349986327867856,0.1509909763927851,0.1994713442237773,0.2323452264003808,0.0160824784030949,0.0164774511094682,0.0417962143385219,0.1078376763451858,4.488660366870484,0.6223854581673307,0.0262699203187251,0.018550796812749,0.1176543824701195,0.2151394422310757,0.1660583941605839,0.1954075425790754,0.2045316301703163,0.309610705596107,0.1243917274939172,1.648203099241675,7.039119804400978
Breast-P197,0.2328706921221536,0.1497894607742937,0.1993888230244062,0.2366011201504435,0.0173030538408078,0.0159130861371162,0.0422713707534442,0.1058623931973345,4.514201983769161,0.621431219873934,0.0301569645284884,0.0165616116672846,0.1137065875664318,0.2181436163638611,0.1635788522367826,0.1766832354270221,0.2051513782196113,0.327308329567706,0.1272782045488778,1.6415279138099903,6.85680473372781
Breast-P196,0.2332024498196605,0.1485278102488785,0.204078370250477,0.2394169189421414,0.0167151235400493,0.0149666796551069,0.0425821019292829,0.1005105456144031,4.721660092608472,0.6131733533308337,0.0273715785526809,0.0157480314960629,0.1242344706911636,0.2194725659292588,0.1548215865526393,0.1823945738720141,0.2056915364199351,0.3383957534650545,0.1186965496903568,1.5851373182552504,7.424844720496894
Breast-P195,0.2332952149144433,0.1469832243985857,0.1995236946190081,0.2341974673982605,0.0180660322922458,0.0169854275732555,0.0454273634293987,0.1055215753748019,4.3763325624682725,0.6042189854344551,0.0302611752887995,0.019839276745354,0.1169010547463586,0.2287795077850326,0.1541932472382138,0.1822000933561537,0.1972926715419324,0.3158549867745449,0.1504590010891551,1.5266497461928934,5.646328852119959
Breast-P194,0.2285556801550947,0.1436717161157888,0.1998460456541159,0.2251629825328341,0.0186170718263547,0.0189972060137228,0.0428411229163894,0.1223081747856993,3.9318522684664416,0.6116035455278002,0.028433291124669,0.0174974099228732,0.1131575918038448,0.2293081616208127,0.1588321167883211,0.1821897810218978,0.2125547445255474,0.3143065693430656,0.1321167883211678,1.574688796680498,6.569060773480663
Breast-P193,0.2354318216994273,0.1528207707785172,0.2010234483826033,0.2345128463086209,0.0156709487695403,0.0150034824330598,0.0434336789970592,0.1021030026311716,4.675010979358805,0.6176610411219396,0.0251961017352032,0.0167577846446398,0.1212265272165438,0.2191585452816734,0.1541148525918681,0.1826184155372362,0.1890456895347212,0.3370127148246472,0.1372083275115271,1.615480261112838,6.288187372708758
Breast-P192,0.2343773724052664,0.1536559442986356,0.2007786911914626,0.2366765720235125,0.015812420016051,0.0141964731145478,0.0427846344055701,0.1017178925449537,4.73028400969486,0.6200380641653073,0.0290918977705274,0.0163132137030995,0.1179989124524198,0.216557911908646,0.1566951566951566,0.1843937955049066,0.191358024691358,0.3249446027223805,0.1426084203861981,1.6318425760286226,6.012208657047725
Breast-P191,0.2356252640473173,0.149936628643853,0.1984896493451626,0.238466413181242,0.0158639628221377,0.015758343895226,0.0439163498098859,0.1019433882551753,4.634372768388479,0.6339811912225706,0.0242006269592476,0.0160501567398119,0.1127272727272727,0.2130407523510971,0.150674432863274,0.1877682403433476,0.1991109748620478,0.3257204169221336,0.1367259350091968,1.7321000342583075,6.313901345291479
Breast-P190,0.2320432081184003,0.1493507178497209,0.2030971444244016,0.2310199689863603,0.0172157346751479,0.0170153063915524,0.0439254406785024,0.1063324788759138,4.420378523643433,0.6294041450777202,0.0248704663212435,0.0186528497409326,0.1180051813471502,0.2090673575129533,0.1535469819539514,0.1854387056627255,0.1991288114499066,0.320784069695084,0.1411014312383323,1.698357217756029,6.08710033076075
Breast-P189,0.2286531690140845,0.1521734574111334,0.2003060026827632,0.2306023641851106,0.0169663816230717,0.0178676224010731,0.0443179912810194,0.1091130114017438,4.3116615641525184,0.6197950447528863,0.029835257491244,0.0191983396030613,0.1157089116616941,0.2154624464911143,0.1603543066585216,0.1886072083078802,0.1916615760537568,0.3216249236408063,0.1377519853390348,1.630160354827704,6.259423503325943
Breast-P188,0.2319718642865587,0.145742207510738,0.1986838475785159,0.2280411396146116,0.0185896678094337,0.0177719982661465,0.0459077117074516,0.1132915632265437,4.113495541786308,0.6269562052650733,0.0285090379716122,0.0143151765134053,0.1110032755064903,0.2192163047434186,0.1598214285714285,0.1869047619047619,0.1994047619047619,0.3308035714285714,0.1230654761904762,1.680650406504065,7.125755743651753
Breast-P187,0.2363987792472024,0.1499491353001017,0.2059003051881993,0.2384638860630722,0.0158901322482197,0.0152899287894201,0.043499491353001,0.0946083418107833,4.907096929271077,0.6227805290494021,0.0288682207996134,0.0236743568063775,0.1225993477473124,0.2020775455972943,0.1478053568924414,0.1900154256065068,0.1901556583929322,0.3208526153414668,0.1511709437666526,1.6509766250400255,5.615027829313544
Breast-P186,0.2344992266572599,0.149232536473738,0.2047504047612587,0.2364981593538291,0.0164889335106142,0.0150146075850903,0.0418780922403422,0.1016380394178673,4.713643410852713,0.6262157382847038,0.0251989389920424,0.0169098143236074,0.1101900972590627,0.2214854111405835,0.1527795775560451,0.1805105610988726,0.2026694311260852,0.3224050796941817,0.1416353505248153,1.6753400354819634,6.060384263494968
Breast-P185,0.2333873290136789,0.1492260619150468,0.2030147588192944,0.2300215982721382,0.0176295896328293,0.0172246220302375,0.0441414686825054,0.1053545716342692,4.42445691969734,0.6241910287882169,0.029569292568623,0.0153983485829056,0.115487614371792,0.2153537156884624,0.1594701986754967,0.1831788079470198,0.2011920529801324,0.3209271523178807,0.1352317880794702,1.6609263657957245,6.394711067580803
Breast-P184,0.2353185633940692,0.1431249595966126,0.2040117100560568,0.2300638142644736,0.0185901757431914,0.0170940960261536,0.0412622479983007,0.1105344329211418,4.333875178562632,0.6264183258402911,0.0248340826375508,0.0185185185185185,0.107792763862128,0.2224363091415114,0.1552819183408943,0.1810758263123784,0.2235904082955282,0.3020090732339598,0.1380427738172391,1.6767908309455588,6.244131455399061
Breast-P183,0.2331098915327842,0.1465652048327174,0.2005796870486758,0.2326716401557784,0.0189444117969302,0.0188149284355421,0.0456080239843026,0.103706212213269,4.345490363113619,0.6208784668491846,0.029639328651351,0.022259254850613,0.1178431139150101,0.2093798357338412,0.1603544376161212,0.1796484207517507,0.1983707303129913,0.2999857081606403,0.1616407031584965,1.6376766091051804,5.186560565870911
Breast-P182,0.2290568923434701,0.1419218319523156,0.2002074145462545,0.2272551094164109,0.0203538617864887,0.0194215438765569,0.0455473963189155,0.1162359497595876,3.9613325710721896,0.6058544880359529,0.0291509777723794,0.0180978987003522,0.1106522531276569,0.2362443823636584,0.1553324205081393,0.1767838125665601,0.2008215426745778,0.3089913281606572,0.1580708960900654,1.5371340523882897,5.326275264677575
Breast-P181,0.2282407355434062,0.1421691345689684,0.2036103595765461,0.2339661192002425,0.0180517978827306,0.0186131100059499,0.0445681825836074,0.1107805606385486,4.207963049579046,0.6120865659452838,0.0266775554648155,0.0193276167143051,0.1182795698924731,0.2236286919831223,0.1505798090040927,0.1797407912687585,0.2037858117326057,0.3234993178717599,0.142394270122783,1.5778947368421052,6.022754491017964
Breast-P180,0.2329519499421019,0.1506729982683706,0.1987655501375742,0.2331325493195652,0.0180280672679563,0.0159139922023562,0.0447249046541521,0.105809988207923,4.4207313561762165,0.6325069600954527,0.0281055283043881,0.015511069866101,0.1132175526978655,0.2106588890361925,0.1543181469550544,0.1843841079920233,0.1963491333026537,0.3313391624482282,0.1336094493020402,1.721139971139971,6.484500574052813
Breast-P179,0.229735094955555,0.1489070736925689,0.1986015836954364,0.2310695458455566,0.0174471182477887,0.0175353464058054,0.043904537133026,0.1127997000242627,4.216845981243887,0.6169041907718358,0.0268096514745308,0.0165091011711584,0.1202201213489487,0.2195569352335261,0.1526289764298665,0.1821328498434151,0.1976265040382396,0.330311521344981,0.1373001483434976,1.6103130755064456,6.283313325330132
